122736 records from ../../../pwg/pywork/pwghw2.txt
1149416 records read from ../../../pwg/orig/pwg.txt
1209 filtered
ADJUST 001: 14332:kaw:131648:pra, prakawita => pra
ADJUST 002: 15072:kar:139903:prani, pranikaroti => prani
ADJUST 003: 15074:kar:140625:saMni, saMnikIrRa => saMni
ADJUST 004: 17754:kunT:167465:kunT, kuTnA/ti => kunT
ADJUST 005: 17754:kunT:167469:prani, pranikunTyAt => prani
ADJUST 006: 18292:kuz:172340:ava, tUlEravakuzRAti = avatUlayati => ava
ADJUST 007: 19757:krand:185499:vi, vikrandita => vi
ADJUST 008: 19913:kruS:188298:prod, protkruzwa => prod
ADJUST 009: 20015:klam:189286:pari, pariklAnta => pari
ADJUST 010: 20254:kzAray:192302:A = kzAray => A
ADJUST 011: 20275:kzi:192640:upa, upakzIya => upa
ADJUST 012: 20895:KaRqay:198567:ud, utKaRqitA => ud
ADJUST 013: 21608:gad:205126:praRyA, praRyAgadat => praRyA
ADJUST 014: 21815:gam:208259:nyA, nyAga^n => nyA
ADJUST 015: 21848:gar:209389:aBiprati = prati => aBiprati
ADJUST 016: 21899:garj:210163:saMpra, saMpragarjita => saMpra
ADJUST 017: 22089:galB:211919:ava, avagalBate => ava
ADJUST 018: 22746:guh:219106:vi, vigUQa => vi
ADJUST 019: 22746:guh:219115:sam, saMgUQa = saMkalita => sam
ADJUST 020: 24038:Garz:232179:vi, viGfzwa => vi
ADJUST 021: 24262:cak:234745:pra, pracakita => pra
ADJUST 022: 24903:car:241421:upa, kAmamapucaraDyE => upa
ADJUST 023: 25298:ci:246133:pariRi, praRi => pariRi
ADJUST 024: 25555:cint:249162:vyA, vyAcintayat => vyA
ADJUST 025: 26484:jan:259495:vyati, °jAjYaDvam, °jajYiDve, °jajYize, °jajYizva => vyati
ADJUST 026: 27097:jalp:265463:upa, upajalpita => upa
ADJUST 027: 27919:jyA:275051:upa, upajyAya => upa
ADJUST 028: 27919:jyA:275059:pra, prajyAya => pra
ADJUST 029: 29738:til:295325:pra, pratilAmi => pra
ADJUST 030: 32400:dA:321997:praRi, °dadAti => praRi
ADJUST 031: 33083:dI:329309:pra, °dAya => pra
ADJUST 032: 37505:nad:372658:pari, pariRadati => pari
ADJUST 033: 37505:nad:372662:pra, praRadati => pra
ADJUST 034: 37874:nard:377140:pra, pranardati => pra
ADJUST 035: 38049:naS:378796:pari, pariRaSyati, parinazwa => pari
ADJUST 036: 40380:nI:400479:antar, antarRayati => antar
ADJUST 037: 40380:nI:400751:avA, avAnItA => avA
ADJUST 038: 45432:piz:452143:samud, samutpizwa => samud
ADJUST 039: 51366:plu:506935:samupa, samupapluta => samupa
ADJUST 040: 51856:barh:512304:ni, nivfMhitA, nivfMhyate, nivarhayati => ni
ADJUST 041: 54230:Barts:534589:ud, udaBartsata => ud
ADJUST 042: 54243:Bal:534724:ni, °BAlayati => ni
ADJUST 043: 54389:BA:536188:vyati, °BAte, °baBe => vyati
ADJUST 044: 54758:BAz:540276:ava, °BAzita => ava
ADJUST 045: 54758:BAz:540313:ud, udBAzita => ud
ADJUST 046: 54940:BI:542943:sam, saMBIta => sam
ADJUST 047: 55168:BU:545773:vyati, °BavizIzwa => vyati
ADJUST 048: 55168:BU:546217:pra, praBavARi => pra
ADJUST 049: 56707:mad:562335:ava, avamadan => ava
ADJUST 050: 59393:mA:587587:pariRi, °mimIte => pariRi
ADJUST 051: 59393:mA:587591:praRi, °mimIte => praRi
ADJUST 052: 59394:mA:587787:pariRi, °mimIte => pariRi
ADJUST 053: 59394:mA:587791:praRi, °mimIte => praRi
ADJUST 054: 59396:mA:588087:pariRi, °mayate => pariRi
ADJUST 055: 59396:mA:588091:praRi, °mayate => praRi
ADJUST 056: 60355:mi:597319:pra, pra minanti => pra
ADJUST 057: 61108:muz:605196:saMpra, cittasaMpramuzita => saMpra
ADJUST 058: 65072:arj:633372:samA, samArjita => samA
ADJUST 059: 65128:arTay:633760:aBi, asanto 'ByarTitAH sadBiH kvacitkArye kadAcana => aBi
ADJUST 060: 65677:aS:637272:upa, vErasyopaSamo dfzwaH pApaM nopASnute punaH => upa
ADJUST 061: 65678:aS:637285:upa, yAni grAmyARi BojyAni grAmikastAnyupASniyAt => upa
ADJUST 062: 65829:as:638250:aDi, aDyasta => aDi
ADJUST 063: 65829:as:638351:pra, aMSam => pra
ADJUST 064: 65922:asUy:638925:aBi, nAByasUyAmi vAkyasyAsya tavAnaGe => aBi
ADJUST 065: 66548:Ap:642825:anupra, sarvarasA anuprAptAH pAnIyam => anupra
ADJUST 066: 66891:AliNg:645015:sam, samAliNgati => sam
ADJUST 067: 67142:i:646861:samanu, parvaBAMSasamanvita => samanu
ADJUST 068: 67142:i:646871:vyapa, vyapeta => vyapa
ADJUST 069: 67142:i:646916:samava, samaveta => samava
ADJUST 070: 67142:i:646933:udA, udeyivaMs => udA
ADJUST 071: 67142:i:646936:pratyA, pratyeyAya svakaM DAma => pratyA
ADJUST 072: 67142:i:646966:prod, prodyatprOQapriyaNgu => prod
ADJUST 073: 67142:i:647008:samopa, balavIryasamopeta => samopa
ADJUST 074: 67142:i:647024:ni, BaNgaM nIyAt => ni
ADJUST 075: 67142:i:647028:nis, niryadvaktrAnalArcis => nis
ADJUST 076: 67332:iz:648324:anu, svagfhe veSavAwe dyUtasaBAyAmApaRe ca nipuRamanvizyannopalabDavAn => anu
ADJUST 077: 67371:Ikz:648645:nis, tiryaNmuKo nagnAmanirIkzan => nis
ADJUST 078: 67393:Ir:648899:aByud, iti DanavatyAByudIrite => aByud
ADJUST 079: 67454:Ih:649301:sam, samIhate 'rTasidDim => sam
ADJUST 080: 67469:ukz:649440:pra, tadadBirdevayajanaM dravyARyAtmAnameva ca . prokzya => pra
ADJUST 081: 67544:ujJ:649954:pra, projJya => pra
