8644 records from preverb1.txt
DBG: nis-sar. PreverbSandhi=>niHsar, ScharfSandhi=>nissar
DBG: aBinis-sar. PreverbSandhi=>aBiniHsar, ScharfSandhi=>aBinissar
DBG: samaBinis-sar. PreverbSandhi=>samaBiniHsar, ScharfSandhi=>samaBinissar
DBG: vinis-sar. PreverbSandhi=>viniHsar, ScharfSandhi=>vinissar
DBG: anuvinis-sar. PreverbSandhi=>anuviniHsar, ScharfSandhi=>anuvinissar
DBG: nis-sarj. PreverbSandhi=>niHsarj, ScharfSandhi=>nissarj
DBG: aBinis-sarj. PreverbSandhi=>aBiniHsarj, ScharfSandhi=>aBinissarj
DBG: pratinis-sarj. PreverbSandhi=>pratiniHsarj, ScharfSandhi=>pratinissarj
DBG: vinis-sarj. PreverbSandhi=>viniHsarj, ScharfSandhi=>vinissarj
DBG: nis-sarp. PreverbSandhi=>niHsarp, ScharfSandhi=>nissarp
DBG: aBinis-sarp. PreverbSandhi=>aBiniHsarp, ScharfSandhi=>aBinissarp
DBG: vinis-sarp. PreverbSandhi=>viniHsarp, ScharfSandhi=>vinissarp
DBG: nis-sah. PreverbSandhi=>niHsah, ScharfSandhi=>nissah
DBG: ati-si. PreverbSandhi=>atizi, ScharfSandhi=>atisi
DBG: anvati-sic. PreverbSandhi=>anvatizic, ScharfSandhi=>anvatisic
DBG: vyati-sic. PreverbSandhi=>vyatizic, ScharfSandhi=>vyatisic
DBG: anu-sic. PreverbSandhi=>anuzic, ScharfSandhi=>anusic
DBG: aBi-sic. PreverbSandhi=>aBizic, ScharfSandhi=>aBisic
DBG: anvaBi-sic. PreverbSandhi=>anvaBizic, ScharfSandhi=>anvaBisic
DBG: samaBi-sic. PreverbSandhi=>samaBizic, ScharfSandhi=>samaBisic
DBG: ni-sic. PreverbSandhi=>nizic, ScharfSandhi=>nisic
DBG: saMni-sic. PreverbSandhi=>saMnizic, ScharfSandhi=>saMnisic
DBG: nis-sic. PreverbSandhi=>niHsic, ScharfSandhi=>nissic
DBG: pari-sic. PreverbSandhi=>parizic, ScharfSandhi=>parisic
DBG: prati-sic. PreverbSandhi=>pratizic, ScharfSandhi=>pratisic
DBG: vi-sic. PreverbSandhi=>vizic, ScharfSandhi=>visic
DBG: anuvi-sic. PreverbSandhi=>anuvizic, ScharfSandhi=>anuvisic
DBG: anu-siD. PreverbSandhi=>anuziD, ScharfSandhi=>anusiD
DBG: aBi-siD. PreverbSandhi=>aBiziD, ScharfSandhi=>aBisiD
DBG: ni-siD. PreverbSandhi=>niziD, ScharfSandhi=>nisiD
DBG: nis-siD. PreverbSandhi=>niHsiD, ScharfSandhi=>nissiD
DBG: pari-siD. PreverbSandhi=>pariziD, ScharfSandhi=>parisiD
DBG: prati-siD. PreverbSandhi=>pratiziD, ScharfSandhi=>pratisiD
DBG: viprati-siD. PreverbSandhi=>vipratiziD, ScharfSandhi=>vipratisiD
DBG: saMprati-siD. PreverbSandhi=>saMpratiziD, ScharfSandhi=>saMpratisiD
DBG: vi-siD. PreverbSandhi=>viziD, ScharfSandhi=>visiD
DBG: anu-siD. PreverbSandhi=>anuziD, ScharfSandhi=>anusiD
DBG: aBi-siD. PreverbSandhi=>aBiziD, ScharfSandhi=>aBisiD
DBG: anu-sIv. PreverbSandhi=>anuzIv, ScharfSandhi=>anusIv
DBG: aBi-sIv. PreverbSandhi=>aBizIv, ScharfSandhi=>aBisIv
DBG: ni-sIv. PreverbSandhi=>nizIv, ScharfSandhi=>nisIv
DBG: pari-sIv. PreverbSandhi=>parizIv, ScharfSandhi=>parisIv
DBG: prati-sIv. PreverbSandhi=>pratizIv, ScharfSandhi=>pratisIv
DBG: vi-sIv. PreverbSandhi=>vizIv, ScharfSandhi=>visIv
DBG: aDi-su. PreverbSandhi=>aDizu, ScharfSandhi=>aDisu
DBG: aBi-su. PreverbSandhi=>aBizu, ScharfSandhi=>aBisu
